SHEET: Utang Business
Shape: 1000 rows x 12 columns

                               0                    1               2              3                 4                        5                        6           7                    8                    9                           10                                11
255                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
256                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
257                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
258                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
259                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
260                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
261                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
262                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
263                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
264                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
265                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
266                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
267                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
268                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
269                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
270                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
271                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
272                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
273                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
274                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
275                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
276                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
277                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
278                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
279                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
280                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
281                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
282                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
283                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
284                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
285                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
286                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
287                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
288                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
289                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
290                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
291                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
292                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
293                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
294                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
295                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
296                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
297                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
298                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
299                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
300                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
301                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
302                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
303                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
304                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
305                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
306                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
307                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
308                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
309                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
310                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
311                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
312                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
313                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
314                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
315                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
316                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
317                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
318                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
319                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
320                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
321                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
322                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
323                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
324                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
325                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
326                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
327                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
328                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
329                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
330                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
331                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
332                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
333                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
334                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
335                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
336                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
337                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
338                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
339                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
340                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
341                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
342                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
343                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
344                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
345                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
346                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
347                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
348                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
349                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
350                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
351                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
352                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
353                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
354                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
355                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
356                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
357                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
358                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
359                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
360                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
361                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
362                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
363                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
364                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
365                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
366                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
367                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
368                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
369                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
370                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
371                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
372                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
373                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
374                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
375                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
376                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
377                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
378                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
379                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
380                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
381                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
382                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
383                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
384                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
385                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
386                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
387                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
388                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
389                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
390                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
391                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
392                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
393                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
394                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
395                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
396                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
397                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
398                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
399                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
400                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
401                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
402                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
403                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
404                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
405                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
406                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
407                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
408                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
409                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
410                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
411                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
412                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
413                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
414                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
415                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
416                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
417                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
418                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
419                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
420                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
421                           NaN                  NaN             NaN            NaN                 -                        -                        -           -                    -                    -                           -                                 -
